id,school_id,Number of Started Assigned Learning Activities,Number of Completed Assigned Learning Activities,Ratio of Completed Learning Activities to Assigned Learning Activities,Total Time in Completed Learning Activities,Average Time in Completed Learning Activities,Number of Exercise Activities,Number of Engagement Activities,Number of Comunication Activities,Number of Video Activities,Number of Game Activities,Number of Free Learning Activities,Number of Unique Free Learning Activities,Number of Started Learning Tracks,Number of Completed Learning Tracks,Total Time in Completed Learning Tracks,Average Time in Completed Learning Tracks,Number of Language Learning Tracks Started,Number of STEM Learning Tracks Started,Number of Music Learning Tracks Started,Number of Religion Learning Tracks Started,Number of Problems,Average Difficulty Rating,Average Fun Rating
cd6016b7-6e24-4670-af44-997405d022a5,9,34,34,0.7906976744186046,28 days 02:22:14.985381,0 days 19:50:03.970158264,23,5,1,4,1,0,0,2,1,7 days 20:15:43.485000,7 days 20:15:43.485000,1,0,1,0,1,,4.5
f6ba0f3d-7a46-4175-a7da-1e56737ee1f7,9,29,28,0.6511627906976745,36 days 21:57:47.545186,1 days 07:38:29.555185214,18,6,1,3,1,0,0,2,1,9 days 23:22:39.557000,9 days 23:22:39.557000,1,0,1,0,0,,3.7777777777777777
bf2ee182-dbf1-41d7-b93f-596b1c8cb0df,9,27,27,0.627906976744186,38 days 00:24:43.126206,1 days 09:47:34.930600222,19,3,1,3,1,0,0,2,1,9 days 23:25:55.927000,9 days 23:25:55.927000,1,0,1,0,0,,3.64
b64a2e8c-fb18-43e8-9bbe-f0eaf84406a8,9,3,3,0.375,3 days 00:25:36.670448,1 days 00:08:32.223482666,0,0,0,2,1,0,0,1,1,3 days 00:26:02.958000,3 days 00:26:02.958000,0,0,1,0,0,,3.0
c1dab0be-ceee-410d-94b7-dd7f5cde58ec,9,8,8,1.0,3 days 00:52:00.721993,0 days 09:06:30.090249125,4,0,0,3,1,0,0,1,1,3 days 00:52:54.652000,3 days 00:52:54.652000,0,0,1,0,0,,4.666666666666667
ceccfce1-7ba4-4c20-b0b5-d3396e93357d,9,33,31,0.7209302325581395,28 days 02:13:02.577946,0 days 21:44:56.212191806,22,6,1,3,1,0,0,2,0,,,1,0,1,0,1,,3.0357142857142856
197791f8-a78a-4dc0-b837-3dca324b99f0,9,6,6,0.75,3 days 00:53:43.697274,0 days 12:08:57.282879,3,0,0,2,1,0,0,1,0,,,0,0,1,0,3,,4.25
a7425ca5-c516-4a94-8d8e-d4845838b16c,9,4,3,0.375,3 days 00:19:43.365608,1 days 00:06:34.455202666,2,0,0,1,1,0,0,1,0,,,0,0,1,0,1,,3.6666666666666665
64f8f1e8-4877-43cd-886e-a87b15441619,9,9,8,1.0,3 days 00:59:22.144641,0 days 09:07:25.268080125,4,0,0,4,1,0,0,1,0,,,0,0,1,0,0,,3.6666666666666665
c37dc88b-ae76-4e7a-bab4-3104232344a1,9,5,4,0.5,3 days 01:00:13.762325,0 days 18:15:03.440581250,3,0,0,1,1,0,0,1,0,,,0,0,1,0,0,,4.666666666666667
437634b0-824d-4921-aa8e-0d13ea5e008e,9,2,1,0.125,3 days 00:07:47.248940,3 days 00:07:47.248940,0,0,0,1,1,0,0,2,0,,,0,0,1,0,0,,3.0
e553e5a9-8413-4e86-84be-04ede9c38e0f,9,3,3,0.375,38 days 00:55:13.954334,12 days 16:18:24.651444666,1,0,0,1,1,0,0,1,0,,,0,0,1,0,0,,4.0
a3ba5abb-0d90-4959-82c7-93d4ce6379d7,10,46,44,0.5176470588235295,6 days 22:09:15.931714,0 days 03:46:34.452993500,26,11,1,7,1,0,0,4,1,1 days 00:27:37.989000,1 days 00:27:37.989000,2,0,1,0,0,,4.078947368421052
eab76bc0-2ece-489a-9ddb-fde34799fc33,10,37,33,0.559322033898305,4 days 03:02:54.120029,0 days 03:00:05.276364515,21,8,3,5,0,0,0,5,2,7 days 01:06:56.012000,3 days 12:33:28.006000,1,0,0,0,0,,3.4074074074074074
196bdd2b-94ea-473e-98e3-6710ce62cb27,10,39,34,0.4927536231884058,2 days 01:51:46.024905,0 days 01:27:59.588967794,22,8,3,5,1,0,0,4,0,,,2,0,1,0,0,,4.214285714285714
8006b272-572f-4186-b1d7-5294b6000ff8,10,48,45,0.6521739130434783,1 days 07:25:56.260084,0 days 00:41:54.583557422,28,10,3,6,1,0,0,4,2,1 days 01:24:57.481000,0 days 12:42:28.740500,2,0,1,0,0,,3.7222222222222223
